id,genres,budget,status,title,voteAvg,voteCount,revenue,releaseDate,popularity,Opening_Weekend,Theatres,Sequel,Famous Cast,Famous Cast Scale
123553,"Action, Adventure, Drama, Mystery, Romance, Fantasy",60000000,Released,The Mortal Instruments: City of Bones,6.1,638,90565421,21-08-2013,1.026939,9336957,3118,1,0,4
109421,"Thriller, Crime, Drama",30000000,Released,Side Effects,6.2,816,63372757,08-02-2013,1.537418,9303145,2605,0,0,5
284536,"Thriller, Crime, Drama",25000000,Released,The Gambler,5.6,272,39171130,25-12-2014,2.513378,9129999,2478,0,1,7
175528,Comedy,8500000,Released,Baggage Claim,5.8,46,22456509,27-09-2013,0.712651,9031102,2027,0,0,4
188207,"Action, Adventure",70000000,Released,The Legend of Hercules,4.4,327,61279452,10-01-2014,0.739232,8868318,2104,0,0,4
107811,Comedy,13000000,Released,21 & Over,5.6,490,48065672,01-03-2013,1.313577,8754168,2771,0,0,4
225565,"Comedy, Romance",8000000,Released,That Awkward Moment,6,426,26049082,31-01-2014,1.367049,8742109,2809,0,0,4
256274,"Horror, Thriller",5000000,Released,"As Above, So Below",6,314,40100000,29-08-2014,1.182236,8632820,2640,0,0,4
100241,"Horror, Thriller",65000000,Released,"I, Frankenstein",5.1,366,71154592,24-01-2014,1.686757,8610441,2753,0,0,4
98357,"Thriller, Crime, Drama",56000000,Released,Broken City,5.7,359,19701164,18-01-2013,0.920403,8268908,2620,0,0,4
145135,"Science Fiction, Thriller, Horror",3500000,Released,Dark Skies,5.9,296,25174316,21-02-2013,0.572397,8189166,2313,0,0,4
146239,Comedy,26000000,Released,Delivery Man,6.1,261,51164106,22-11-2013,0.904897,7944977,3036,0,0,4
254904,"Crime, Action, Thriller",15000000,Released,The November Man,6,368,32556119,27-08-2014,3.151957,7911597,2776,0,0,4
109091,"Thriller, Crime, Drama",25000000,Released,The Counselor,4.8,365,71009334,25-10-2013,1.091163,7842930,3044,0,0,4
146238,"Crime, Thriller, Drama",30000000,Released,Runner Runner,5.5,320,62616646,02-10-2013,1.191397,7706712,3026,0,0,4
87567,Comedy,35000000,Released,The Big Wedding,5.6,188,21819348,25-04-2013,0.696004,7591663,2633,0,1,8
109491,"Fantasy, Drama, Romance",60000000,Released,Beautiful Creatures,5.6,439,60052138,15-02-2013,0.945864,7582595,2950,0,0,4
137321,"Drama, Fantasy, Mystery, Romance",60000000,Released,Winter's Tale,5.8,210,30800231,13-02-2014,2.095812,7297694,2965,0,0,4
77951,"Animation, Family, Adventure",80000000,Released,Walking With Dinosaurs,5.1,65,126546518,20-12-2013,1.152241,7091938,3231,0,0,4
64807,Comedy,40000000,Released,Grudge Match,6,196,44907260,25-12-2013,0.9142,7021993,2838,0,0,4
119283,"Action, Crime",35000000,Released,Parker,5.6,1059,46216641,25-01-2013,0.577138,7008222,2224,0,0,6
204082,"Action, Thriller",22000000,Released,Homefront,6.4,427,43058898,27-11-2013,1.271679,6915241,2570,0,0,6
115782,"Drama, History",12000000,Released,Jobs,6.1,667,35931410,16-08-2013,0.869089,6713900,2381,0,0,6
243683,"Romance, Drama, Music",0,Released,Step Up All In,6.9,259,86165646,25-07-2014,2.145716,6469857,2072,1,0,4
189,Crime,65000000,Released,Sin City: A Dame to Kill For,6.3,618,39407616,22-08-2014,3.262798,6317683,2894,1,0,7
102362,"Thriller, Action, Crime, Drama",0,Released,Dead Man Down,5.6,411,18074539,08-03-2013,0.972595,5345250,2188,0,0,4
144336,"Action, Drama, Thriller, Crime",35000000,Released,Sabotage,5.4,310,17508518,28-03-2014,1.089752,5272444,2486,0,0,6
164457,"Thriller, Drama, Crime",22000000,Released,Out of the Furnace,6.3,287,15400000,06-12-2013,1.0456,5220288,2101,0,0,4
130150,Drama,18000000,Released,Labor Day,6.5,129,20275812,27-12-2013,0.68348,5175282,2584,0,0,6
87818,Comedy,6000000,Released,Movie 43,4.5,406,32438988,25-01-2013,1.088517,4805878,2023,0,0,4
154400,"Drama, Crime",12600000,Released,The Drop,6.6,405,18658381,12-09-2014,3.077427,4104552,809,0,0,4
203739,"Action, Fantasy, Comedy, Horror, Mystery",0,Released,Vampire Academy,5.7,258,7791979,07-02-2014,0.974865,3921742,2676,0,0,4
106747,"Action, Crime, Thriller",12000000,Released,Machete Kills,5.3,288,15008161,11-10-2013,0.862835,3837183,2538,1,0,4
115348,"Drama, Thriller",35000000,Released,Paranoia,5.6,183,13785015,16-08-2013,0.558957,3528376,2459,0,0,6
87093,Drama,10000000,Released,Big Eyes,6.7,375,28883511,25-12-2014,1.299245,3001738,1307,0,0,4
157849,Thriller,15000000,Released,A Most Wanted Man,6.3,291,31554855,25-07-2014,1.391004,2687227,361,0,1,7
103731,Drama,10000000,Released,Mud,6.8,551,21587700,10-05-2013,0.625957,2215891,363,0,1,7
177494,"Comedy, Drama, Crime",6000000,Released,Veronica Mars,6.2,253,3485127,14-03-2014,0.931779,1988351,291,0,0,4
228967,"Action, Comedy",44000000,Released,The Interview,6,1158,11305175,25-12-2014,3.76011,1794666,331,0,0,6
122906,"Comedy, Drama, Science Fiction",0,Released,About Time,7.6,817,87100449,08-11-2013,1.549053,1076250,175,0,0,6
120467,"Comedy, Drama",30000000,Released,The Grand Budapest Hotel,7.9,1688,174600318,07-03-2014,3.184362,811166,4,0,0,6
168672,"Drama, Crime",40000000,Released,American Hustle,6.9,1310,251171807,20-12-2013,2.022423,740455,6,0,1,9
190859,"War, Action",58800000,Released,American Sniper,7.5,1950,542307423,25-12-2014,6.361005,633456,4,0,1,8
160588,"Comedy, Drama",18000000,Released,Blue Jasmine,6.8,461,97505481,26-07-2013,1.12473,612064,6,0,1,7
228970,Drama,40100000,Released,Wild,6.9,426,52501541,05-12-2014,1.211135,606810,21,0,0,4
273895,"History, Drama",20000000,Released,Selma,7.3,340,66787908,25-12-2014,1.16468,571450,19,0,0,4
147773,"Comedy, Drama",4600000,Released,The Way Way Back,7,331,23198652,05-07-2013,0.518435,552788,19,0,0,4
205596,"History, Drama, Thriller, War",14000000,Released,The Imitation Game,8,2100,219501092,14-11-2014,8.618156,479352,4,0,1,8
194662,"Drama, Comedy",18000000,Released,Birdman,7.4,1600,103215094,17-10-2014,7.172748,424397,4,0,0,6
140823,"Comedy, Drama, History",35000000,Released,Saving Mr. Banks,7.4,538,112544580,20-12-2013,1.357304,413373,15,0,1,8
229297,"Comedy, Drama, Romance",0,Released,Magic in the Moonlight,6.3,289,32339326,25-07-2014,0.808188,412095,17,0,0,4
86829,"Drama, Music",11000000,Released,Inside Llewyn Davis,7,279,32935319,20-12-2013,1.068691,405411,4,0,0,4
85350,Drama,4000000,Released,Boyhood,7.6,941,44349000,11-07-2014,2.135884,387618,5,1,0,4
171274,"Comedy, Romance, Crime, Drama, Mystery",20000000,Released,Inherent Vice,6.3,316,11110975,12-12-2014,1.700939,328184,5,0,0,4
77987,"Drama, Thriller, Crime",4800000,Released,Only God Forgives,5.2,414,10337387,19-07-2013,0.526806,313958,78,0,0,4
149870,"Animation, Drama, History",30000000,Released,The Wind Rises,7.5,243,117932401,20-07-2013,0.937458,313751,21,0,0,4
126963,"Animation, Action",0,Released,Dragon Ball Z: Battle of Gods,6.4,166,50353002,30-03-2013,0.961479,296414,62,1,0,4
97367,"Drama, Crime",15000000,Released,The Place Beyond the Pines,6.7,862,35485608,12-04-2013,1.217,279457,4,0,1,9
87492,"Drama, Thriller",24000000,Released,Foxcatcher,6.5,436,15000000,19-05-2014,1.600744,270877,6,0,0,4
122081,"Drama, Crime",5000000,Released,Spring Breakers,4.9,709,31724284,15-03-2013,1.224179,263002,3,0,0,4
152532,"Drama, History",5000000,Released,Dallas Buyers Club,7.8,1050,55198285,22-11-2013,1.429996,260865,9,0,1,8
152601,"Romance, Science Fiction, Drama",23000000,Released,Her,7.9,1583,47351251,18-12-2013,1.990741,260382,6,0,0,5
109445,"Animation, Adventure, Family",150000000,Released,Frozen,7.6,2364,1274219009,27-11-2013,4.575443,243390,1,0,0,4
209263,"Comedy, Drama, Romance",0,Released,Enough Said,6.6,195,25288872,11-10-2013,0.534029,232800,4,0,0,4
96936,"Drama, Crime",15000000,Released,The Bling Ring,5.2,454,19145732,21-06-2013,0.671244,214395,5,0,0,4
266856,"Drama, Romance",15000000,Released,The Theory of Everything,7.8,1143,121201940,26-11-2014,2.555631,208763,5,0,0,4
212778,Comedy,11000000,Released,Chef,7.3,565,45967935,09-05-2014,1.508923,204961,6,0,0,4
284293,Drama,5000000,Released,Still Alice,7.5,420,41797583,05-12-2014,2.456789,197000,12,0,0,6
96721,"Drama, Action",38000000,Released,Rush,7.8,957,90247624,27-09-2013,1.908931,187289,5,0,0,5
110415,"Action, Science Fiction, Drama",39200000,Released,Snowpiercer,6.6,1048,86758912,01-08-2013,1.610176,171187,8,0,0,5
180299,"Action, Crime, Thriller",4500000,Released,The Raid 2,7.6,404,2627209,28-03-2014,1.324288,165292,7,1,0,4
86825,"Drama, Horror, Thriller",12000000,Released,Stoker,6.2,450,12077441,01-03-2013,1.447084,160547,7,0,0,5
258216,Drama,0,Released,Nymphomaniac: Vol. I,6.6,286,10285896,25-12-2013,1.94282,158369,25,0,0,4
242095,"Thriller, Science Fiction",4000000,Released,The Signal,5.8,293,600896,13-06-2014,0.783269,155642,120,0,0,4
129670,"Drama, Adventure",12000000,Released,Nebraska,7.3,301,17654912,23-05-2013,0.517221,140401,4,0,0,4
